City,Locality,count,avg_rating,avg_cost
Abu Dhabi,"Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah)",2,4.6,225.0
Abu Dhabi,Al Dhafrah,2,4.35,110.0
Abu Dhabi,Al Mushrif,1,4.2,100.0
Abu Dhabi,"Al Wahda Mall, Al Wahda",2,4.35,205.0
Abu Dhabi,"Crowne Plaza Abu Dhabi, Al Markaziya",1,4.4,350.0
Abu Dhabi,"Dalma Mall, Mussafah Sanaiya",1,4.0,120.0
Abu Dhabi,Madinat Zayed,1,3.6,60.0
Abu Dhabi,"Madinat Zayed Shopping Centre, Madinat Zayed ",1,4.5,100.0
Abu Dhabi,"Mushrif Mall, Al Mushrif",1,4.0,250.0
Abu Dhabi,Mussafah Sanaiya,1,4.0,50.0
Abu Dhabi,Najda,3,4.1000000000000005,83.33333333333333
Abu Dhabi,"Venetian Village, Al Maqtaa",1,4.9,330.0
Abu Dhabi,"World Trade Center Mall, Al Markaziya",2,4.45,375.0
Abu Dhabi,"Yas Mall, Yas Island",1,4.6,200.0
Agra,Agra Cantt,3,3.6666666666666665,683.3333333333334
Agra,Civil Lines,2,4.1,700.0
Agra,"Courtyard by Marriott Agra, Tajganj",1,4.0,2000.0
Agra,"ITC Mughal, Tajganj",2,4.15,2500.0
Agra,Khandari,1,3.6,800.0
Agra,"Radisson Blu, Tajganj",2,3.8499999999999996,1800.0
Agra,Rakabganj,1,4.1,550.0
Agra,Tajganj,8,4.05,737.5
Ahmedabad,Ambavadi,1,4.2,900.0
Ahmedabad,Ashram Road,1,3.7,1800.0
Ahmedabad,Bodakdev,5,4.34,700.0
Ahmedabad,C G Road,1,3.8,1000.0
Ahmedabad,"Courtyard By Marriott, Satellite",1,3.6,1400.0
Ahmedabad,Ellis Bridge,2,4.5,400.0
Ahmedabad,Ghatlodia,1,4.3,900.0
Ahmedabad,Gurukul,2,4.05,650.0
Ahmedabad,Navrangpura,2,4.2,650.0
Ahmedabad,Prahlad Nagar,1,4.5,950.0
Ahmedabad,Thaltej,1,4.1,1200.0
Ahmedabad,"The Fern, Sola",1,4.1,1200.0
Ahmedabad,Vastrapur,2,3.95,875.0
Albany,Albany,19,3.5631578947368423,20.263157894736842
Albany,Sylvester,1,3.4,10.0
Allahabad,Civil Lines,18,3.3944444444444444,508.3333333333333
Allahabad,Tagore Town,1,3.5,400.0
Allahabad,"Vinayak City Centre Mall, Civil Lines",1,3.3,800.0
Amritsar,Basant Nagar,2,3.65,500.0
Amritsar,Hathi Gate,1,4.0,100.0
Amritsar,INA Colony,3,3.5,416.6666666666667
Amritsar,Ranjit Avenue,5,3.56,600.0
Amritsar,Town Hall,7,3.7714285714285714,442.85714285714283
Amritsar,White Avenue,3,3.7999999999999994,550.0
Ankara,"Armada AVM, S�_���_t�_z�_, Yenimahalle",1,4.2,70.0
Ankara,Balgat,2,4.4,85.0
